"surname","count","pctwhite","pctblack","pctapi","pcthispanic","pctothers"
"EDWARDS",317070,65.1665166516652,30.2130213021302,0.4000400040004,1.63016301630163,2.59025902590259
"STEWART",312899,71.7728227177282,23.8276172382762,0.37996200379962,1.58984101589841,2.42975702429757
"FLORES",312615,5.57,0.47,2.15,90.84,0.97
"MORRIS",311754,75.92,19.29,0.43,1.73,2.63
"NGUYEN",310125,1.26,0.18,95.93,0.58,2.05
"MURPHY",300501,85.0585058505851,11.031103110311,0.43004300430043,1.54015401540154,1.94019401940194
"RIVERA",299463,5.92,1.06,2.06,90.17,0.79
"COOK",294795,83.5283528352835,12.2712271227123,0.44004400440044,1.42014201420142,2.34023402340234
"ROGERS",294403,77.8,17.66,0.42,1.77,2.35
"MORGAN",276400,78.4621537846215,16.4683531646835,0.41995800419958,1.85981401859814,2.78972102789721
"PETERSON",275041,86.3072614522905,9.58191638327665,0.520104020804161,1.56031206241248,2.03040608121624
"COOPER",270097,70.3529647035296,25.2574742525747,0.3999600039996,1.53984601539846,2.44975502449755
"REED",267443,73.51,21.97,0.4,1.45,2.67
"BAILEY",265916,74.77,21.14,0.4,1.45,2.24
"BELL",264752,63.5636436356364,31.7768223177682,0.40995900409959,1.54984501549845,2.6997300269973
"GOMEZ",263590,6.1006100610061,0.81008100810081,1.04010401040104,91.1691169116912,0.88008800880088
"KELLY",260385,80.3980398039804,15.4815481548155,0.49004900490049,1.73017301730173,1.9001900190019
"HOWARD",254779,66.8233176682332,28.6871312868713,0.37996200379962,1.54984501549845,2.55974402559744
"WARD",254121,77.79,17.77,0.4,1.64,2.4
"COX",253771,84.48,11.55,0.39,1.52,2.06
"DIAZ",251772,6.17,0.73,1.19,91.22,0.69
"RICHARDSON",249533,62.25,32.77,0.36,1.75,2.87
"WOOD",247299,90.06,5.61,0.51,1.6,2.22
"WATSON",242432,68.58,26.85,0.47,1.58,2.52
"BROOKS",240751,62.72,32.67,0.41,1.62,2.58
"BENNETT",239055,79,16.51,0.41,1.65,2.43
"GRAY",236713,71.13,24.36,0.44,1.57,2.5
"JAMES",233224,54.45,38.09,0.81,2.04,4.61
"REYES",232511,5.26052605260526,0.75007500750075,6.02060206020602,86.9086908690869,1.06010601060106
"CRUZ",231065,5.95,0.83,5.61,86.24,1.37
"HUGHES",229390,80.6,15.45,0.39,1.58,1.98
"PRICE",228756,76.11,19.79,0.42,1.46,2.22
"MYERS",224824,86.59,9.75,0.38,1.4,1.88
"LONG",223494,82.35,11.75,1.78,1.47,2.65
"FOSTER",221040,72.007200720072,23.1923192319232,0.46004600460046,1.7001700170017,2.64026402640264
"SANDERS",220902,63.4336566343366,31.8968103189681,0.32996700329967,1.75982401759824,2.57974202579742
"ROSS",219961,71.4671467146715,23.6723672367237,0.46004600460046,1.82018201820182,2.58025802580258
"MORALES",217642,5.5994400559944,0.5999400059994,1.23987601239876,91.8708129187081,0.68993100689931
"POWELL",216553,69.96699669967,25.972597259726,0.38003800380038,1.41014101410141,2.27022702270227
"SULLIVAN",215640,89.45,6.78,0.46,1.63,1.68
"RUSSELL",215432,79.45,15.79,0.43,1.63,2.7
"ORTIZ",214683,5.4,0.64,0.68,92.35,0.93
"JENKINS",213737,60.12,35.97,0.33,1.34,2.24
"GUTIERREZ",212905,5.21,0.25,1.4,92.39,0.75
"PERRY",212644,70.71,24.37,0.46,1.78,2.68
"BUTLER",210879,64.7435256474352,30.8469153084692,0.34996500349965,1.4998500149985,2.55974402559744
"BARNES",210426,67.45,28.23,0.4,1.49,2.43
"FISHER",210279,84.59,11.28,0.42,1.58,2.13
"HENDERSON",210094,62.18,33.2,0.38,1.61,2.63
"COLEMAN",208624,52.034796520348,43.8256174382562,0.32996700329967,1.43985601439856,2.36976302369763
"SIMMONS",201650,60.5439456054395,35.2564743525647,0.34996500349965,1.4998500149985,2.34976502349765
"PATTERSON",198557,70.0829917008299,25.6574342565743,0.36996300369963,1.60983901609839,2.27977202279772
"JORDAN",197212,64.2935706429357,30.0569943005699,0.43995600439956,2.85971402859714,2.34976502349765
"REYNOLDS",195598,83.2716728327167,12.4987501249875,0.41995800419958,1.64983501649835,2.15978402159784
"HAMILTON",194331,72.79,22.65,0.44,1.61,2.51
"GRAHAM",194074,72.84,22.72,0.42,1.64,2.38
"KIM",194067,2.6,0.36,94.52,0.5,2.02
"GONZALES",193934,10,0.86,3.1,84.44,1.6
"ALEXANDER",193443,60.91,33.22,0.91,2.21,2.75
"RAMOS",193096,7.1992800719928,0.91990800919908,5.03949605039496,85.4114588541146,1.42985701429857
"WALLACE",190760,71.7528247175283,23.7276272372763,0.42995700429957,1.63983601639836,2.44975502449755
"GRIFFIN",190636,66.4666466646665,29.7729772977298,0.34003400340034,1.36013601360136,2.06020602060206
"WEST",188464,77.6977697769777,17.8017801780178,0.39003900390039,1.66016601660166,2.45024502450245
"COLE",187793,77.5977597759776,18.2018201820182,0.43004300430043,1.48014801480148,2.29022902290229
"HAYES",187473,71.6471647164717,24.0524052405241,0.38003800380038,1.48014801480148,2.44024402440244
"CHAVEZ",185865,5.64943505649435,0.20997900209979,0.58994100589941,91.970802919708,1.57984201579842
"GIBSON",184420,74.5774577457746,21.0721072107211,0.36003600360036,1.49014901490149,2.5002500250025
"BRYANT",183761,60.97,34.68,0.3,1.37,2.68
"ELLIS",181934,72.8272827282728,22.6022602260226,0.44004400440044,1.83018301830183,2.3002300230023
"STEVENS",181417,83.4083408340834,11.4011401140114,0.53005300530053,1.79017901790179,2.87028702870287
"MURRAY",178414,77.59,18.13,0.48,1.66,2.14
"FORD",178397,64.2735726427357,31.3968603139686,0.36996300369963,1.50984901509849,2.44975502449755
"MARSHALL",177213,68.89,26.35,0.42,1.64,2.7
"OWENS",176334,68.0831916808319,27.8572142785721,0.30996900309969,1.34986501349865,2.3997600239976
"MCDONALD",176094,79.19,16.26,0.43,1.85,2.27
"HARRISON",175577,71,23.76,0.42,1.78,3.04
"RUIZ",175429,6.12,0.48,1.01,91.7,0.69
"KENNEDY",171636,82.97,12.98,0.46,1.57,2.02
"WELLS",170635,76.3176317631763,19.3419341934193,0.37003700370037,1.56015601560156,2.41024102410241
"ALVAREZ",168817,6.61,0.64,1.15,90.66,0.94
"WOODS",168814,60.68,34.66,0.35,1.55,2.76
"MENDOZA",168567,4.92950704929507,0.37996200379962,5.1994800519948,88.5611438856114,0.92990700929907
"CASTILLO",165473,5.62,0.77,3.26,88.85,1.5
"OLSON",163502,96.0396039603961,0.36003600360036,0.54005400540054,1.38013801380138,1.68016801680168
"WEBB",163481,77.7322267773223,18.3581641835816,0.37996200379962,1.40985901409859,2.11978802119788
"WASHINGTON",163036,5.15948405159484,89.8610138986101,0.24997500249975,1.44985501449855,3.27967203279672
"TUCKER",162933,72.0527947205279,23.5676432356764,0.32996700329967,1.58984101589841,2.45975402459754
"FREEMAN",162686,67.96,27.47,0.37,1.49,2.71
"BURNS",162153,82.1717828217178,13.6286371362864,0.44995500449955,1.58984101589841,2.15978402159784
"HENRY",161392,65.06,28.76,0.57,1.9,3.71
"VASQUEZ",159989,5.49,0.5,0.69,92.46,0.86
"SNYDER",159363,95.3604639536046,1.27987201279872,0.45995400459954,1.27987201279872,1.61983801619838
"SIMPSON",158241,73.2826717328267,22.1277872212779,0.43995600439956,1.68983101689831,2.45975402459754
"CRAWFORD",158121,71.3028697130287,24.4675532446755,0.3999600039996,1.44985501449855,2.37976202379762
"JIMENEZ",157475,4.46,0.31,1.53,92.98,0.72
"PORTER",156848,71.19,24.44,0.42,1.58,2.37
"MASON",155484,70.99,24.48,0.42,1.68,2.43
"SHAW",155172,74.67,20.23,1.24,1.48,2.38
"GORDON",154934,67.75,27.22,0.45,2,2.58
"WAGNER",154516,93.979397939794,2.5002500250025,0.43004300430043,1.6001600160016,1.49014901490149
"HUNTER",154410,62.92,32.3,0.4,1.54,2.84
"ROMERO",153772,10.4420884176835,0.460092018403681,1.34026805361072,86.1472294458892,1.61032206441288
"HICKS",153618,69.4530546945306,26.1373862613739,0.36996300369963,1.41985801419858,2.61973802619738
"DIXON",152015,57.0557055705571,38.2138213821382,0.38003800380038,1.62016201620162,2.73027302730273
"HUNT",151986,76.03,16.33,0.48,1.55,5.61
"PALMER",150407,77.8622137786221,17.3082691730827,0.44995500449955,1.92980701929807,2.44975502449755
"ROBERTSON",150299,75.35,20.24,0.41,1.58,2.42
"BLACK",150186,76.65,18.56,0.42,1.53,2.84
"HOLMES",150166,59.22,36.52,0.31,1.5,2.45
"STONE",149802,87.4,7.9,0.55,1.64,2.51
"MEYER",149664,96.0603939606039,0.44995500449955,0.56994300569943,1.54984501549845,1.36986301369863
"BOYD",149476,65.64,29.94,0.41,1.38,2.63
"MILLS",147909,79.7,16.09,0.4,1.52,2.29
"WARREN",147906,72.4927507249275,23.0876912308769,0.42995700429957,1.46985301469853,2.51974802519748
"FOX",147357,89.8110188981102,5.67943205679432,0.54994500549945,1.53984601539846,2.41975802419758
"ROSE",146924,84.23,10.86,0.52,1.95,2.44
"RICE",146440,79.6579657965797,16.2616261626163,0.4000400040004,1.52015201520152,2.16021602160216
"MORENO",146088,7.05,0.37,0.64,90.97,0.97
"SCHMIDT",145565,96.4896489648965,0.28002800280028,0.46004600460046,1.57015701570157,1.2001200120012
"PATEL",145066,1.55,0.26,91.37,0.57,6.25
"FERGUSON",142256,77.54,18.05,0.44,1.71,2.26
"NICHOLS",141936,84.2815718428157,11.3588641135886,0.40995900409959,1.68983101689831,2.25977402259774
"HERRERA",140786,5.6,0.37,1.01,91.93,1.09
"MEDINA",139353,6.39,0.53,1.95,90.1,1.03
"RYAN",139335,93.33,2.82,0.64,1.62,1.59
"FERNANDEZ",139302,11.3488651134886,1.27987201279872,5.16948305169483,80.6919308069193,1.50984901509849
"WEAVER",138811,85.7014298570143,10.01899810019,0.3999600039996,1.40985901409859,2.46975302469753
"DANIELS",138776,57.17,37.83,0.44,1.78,2.78
"STEPHENS",138742,76.5323467653235,19.2180781921808,0.36996300369963,1.62983701629837,2.24977502249775
"GARDNER",138660,77.2377237723772,18.6718671867187,0.44004400440044,1.47014701470147,2.18021802180218
"PAYNE",138028,73.69,22.03,0.35,1.64,2.29
"KELLEY",137555,85.8014198580142,10.2089791020898,0.46995300469953,1.37986201379862,2.13978602139786
"DUNN",136955,82.3417658234177,13.4786521347865,0.62993700629937,1.52984701529847,2.01979802019798
"PIERCE",136517,82.7117288271173,12.6287371262874,0.3999600039996,1.63983601639836,2.61973802619738
"ARNOLD",136315,83.35,12.63,0.43,1.56,2.03
"TRAN",136095,1.56,0.16,95.61,0.62,2.05
"SPENCER",134443,71.71,22.55,0.69,1.75,3.3
"PETERS",134231,85.16,9.45,0.78,1.73,2.88
"HAWKINS",134066,63.6063606360636,32.0732073207321,0.37003700370037,1.58015801580158,2.37023702370237
"GRANT",134034,58.2441755824417,36.5763423657634,0.40995900409959,1.80981901809819,2.95970402959704
"HANSEN",133474,95.6495649564957,0.4000400040004,0.6000600060006,1.62016201620162,1.73017301730173
"CASTRO",133254,8.72,0.66,3.83,85.52,1.27
"HOFFMAN",132645,95.45,1.11,0.44,1.43,1.57
"HART",132466,82.71,12.92,0.46,1.7,2.21
"ELLIOTT",132457,83.87,12.16,0.42,1.45,2.1
"CUNNINGHAM",131896,75.56,20.4,0.41,1.63,2
"KNIGHT",131860,74.7825217478252,20.7779222077792,0.3999600039996,1.62983701629837,2.40975902409759
"BRADLEY",131289,71.21,24.39,0.4,1.56,2.44
"CARROLL",131020,85.041495850415,10.998900109989,0.43995600439956,1.4998500149985,2.01979802019798
"HUDSON",130793,69.3430656934307,26.2173782621738,0.38996100389961,1.48985101489851,2.55974402559744
"DUNCAN",130419,78.88,16.48,0.39,1.66,2.59
"ARMSTRONG",129982,74.967496749675,20.3020302030203,0.47004700470047,1.76017601760176,2.5002500250025
"BERRY",129405,73.27,22.26,0.44,1.6,2.43
"ANDREWS",129320,74.2225777422258,20.8379162083792,0.58994100589941,1.64983501649835,2.6997300269973
"JOHNSTON",128935,93.1393139313931,2.45024502450245,0.52005200520052,1.74017401740174,2.15021502150215
"RAY",128794,77.5822417758224,17.0682931706829,1.24987501249875,1.65983401659834,2.43975602439756
"LANE",128727,79.3679367936794,16.2216221622162,0.5000500050005,1.54015401540154,2.37023702370237
"RILEY",127960,75.0875087508751,20.5220522052205,0.39003900390039,1.68016801680168,2.32023202320232
"CARPENTER",127073,88.07,8.13,0.45,1.43,1.92
"PERKINS",126951,71.52,23.95,0.43,1.63,2.47
"AGUILAR",126399,4.7,0.22,1.74,92.19,1.15
"SILVA",126164,33.68,1.19,1.82,58.15,5.16
"RICHARDS",125653,81.74,13.28,0.53,1.89,2.56
"WILLIS",125627,64.74,30.38,0.46,1.49,2.93
"MATTHEWS",124839,66.2033796620338,29.4470552944706,0.48995100489951,1.52984701529847,2.32976702329767
"CHAPMAN",124614,81.57,14.11,0.42,1.58,2.32
"LAWRENCE",124321,71.93,23.12,0.58,1.65,2.72
"GARZA",124130,6.59,0.19,0.15,92.47,0.6
"VARGAS",123952,6.2,0.44,0.84,91.78,0.74
"WATKINS",122447,64.54,31.38,0.33,1.35,2.4
"WHEELER",121684,82.7817218278172,12.8387161283872,0.40995900409959,1.60983901609839,2.35976402359764
"LARSON",121064,96.1396139613961,0.39003900390039,0.55005500550055,1.27012701270127,1.65016501650165
"CARLSON",120124,96.2103789621038,0.3999600039996,0.53994600539946,1.31986801319868,1.52984701529847
"HARPER",119868,70.1270127012701,25.6425642564256,0.36003600360036,1.5001500150015,2.37023702370237
"GEORGE",119778,71.4328567143286,17.3682631736826,4.66953304669533,2.23977602239776,4.28957104289571
"GREENE",119604,70.34,25.52,0.39,1.3,2.45
"BURKE",119175,87.7487748774877,8.4008400840084,0.48004800480048,1.57015701570157,1.8001800180018
"GUZMAN",118390,4.72952704729527,0.48995100489951,1.43985601439856,92.6807319268073,0.65993400659934
"MORRISON",117939,81.6718328167183,13.7986201379862,0.4999500049995,1.4998500149985,2.52974702529747
"MUNOZ",117774,5.51944805519448,0.2999700029997,0.87991200879912,92.6007399260074,0.6999300069993
"JACOBS",115540,76.65,15.86,0.48,1.72,5.29
"OBRIEN",115385,95.31,1.13,0.53,1.52,1.51
"LAWSON",115186,76.3,19.71,0.33,1.39,2.27
"FRANKLIN",114859,57.2257225722572,37.7837783778378,0.45004500450045,1.71017101710171,2.83028302830283
"LYNCH",114448,84.22,11.23,0.43,1.68,2.44
"BISHOP",114034,86.38,9.71,0.46,1.53,1.92
"CARR",113892,75.7824217578242,20.0679932006799,0.35996400359964,1.62983701629837,2.15978402159784
"SALAZAR",113468,6.14,0.28,1.59,90.89,1.1
"AUSTIN",113160,69.5769576957696,25.5025502550255,0.5000500050005,1.82018201820182,2.6002600260026
"MENDEZ",112736,5.26947305269473,0.80991900809919,0.46995300469953,92.5907409259074,0.85991400859914
"GILBERT",112406,80.31,14.98,0.42,2.11,2.18
"JENSEN",112332,95.44,0.36,0.58,1.65,1.97
"WILLIAMSON",112216,79.2120787921208,16.7383261673833,0.38996100389961,1.43985601439856,2.21977802219778
"MONTGOMERY",112144,70.22,25.53,0.45,1.53,2.27
"HARVEY",112136,70.6929307069293,24.1075892410759,0.40995900409959,1.57984201579842,3.20967903209679
"OLIVER",111641,66.7466746674667,26.8126812681268,0.54005400540054,3.33033303330333,2.57025702570257
"HOWELL",109634,81.3018698130187,14.5485451454855,0.35996400359964,1.63983601639836,2.14978502149785
"DEAN",109230,78.74,16.23,0.81,1.82,2.4
"HANSON",109079,93.87,2.39,0.57,1.39,1.78
"WEBER",107866,95.58,1.19,0.46,1.41,1.36
"GARRETT",107777,72.43,23.57,0.31,1.48,2.21
"SIMS",107244,56.84,39.14,0.32,1.42,2.28
"BURTON",107158,69.7230276972303,26.027397260274,0.40995900409959,1.5998400159984,2.23977602239776
"FULLER",106682,75.5224477552245,20.3879612038796,0.45995400459954,1.40985901409859,2.21977802219778
"SOTO",106631,5.94,0.55,0.47,92.27,0.77
"MCCOY",106481,69,26.39,0.38,1.69,2.54
"WELCH",105804,85.6,9.83,0.45,1.63,2.49
"CHEN",105544,1.68,0.36,95.45,0.49,2.02
"SCHULTZ",104962,96.24,0.62,0.42,1.4,1.32
"WALTERS",104281,85.3185318531853,10.3010301030103,0.46004600460046,1.74017401740174,2.18021802180218
"REID",104007,63.24,32.01,0.47,1.74,2.54
"FIELDS",103242,59.74,35.2,0.33,1.49,3.24
"WALSH",103216,95.9,0.96,0.49,1.41,1.24
"LITTLE",102718,72.28,23.39,0.36,1.25,2.72
"FOWLER",102620,83.34,12.32,0.4,1.45,2.49
"BOWMAN",102239,82.8917108289171,12.9387061293871,0.41995800419958,1.44985501449855,2.2997700229977
"DAVIDSON",102044,86.25,9.58,0.46,1.6,2.11
"MAY",101726,85.5314468553145,9.44905509449055,0.93990600939906,2.00979902009799,2.06979302069793
"DAY",101676,85.18,10.12,0.7,1.57,2.43
"SCHNEIDER",100553,96.6603339666033,0.32996700329967,0.42995700429957,1.40985901409859,1.16988301169883
"NEWMAN",100491,84.97,10.57,0.49,1.68,2.29
"BREWER",100465,83.3483348334833,12.031203120312,0.33003300330033,1.47014701470147,2.82028202820282
"LUCAS",100417,73.57,18.33,1.35,4.53,2.22
"HOLLAND",99885,78.86,17.23,0.36,1.46,2.09
"WONG",99392,3.33,0.71,88.5,3.02,4.44
"BANKS",99294,41.3,54.24,0.3,1.47,2.69
"SANTOS",98993,21.9321932193219,1.82018201820182,13.2113211321132,58.3258325832583,4.71047104710471
"CURTIS",98958,79.8720127987201,15.4184581541846,0.40995900409959,1.66983301669833,2.62973702629737
"PEARSON",98728,74.49,21.59,0.47,1.42,2.03
"DELGADO",98675,6.44935506449355,0.68993100689931,0.70992900709929,91.2508749125087,0.8999100089991
"VALDEZ",98610,6.84,0.54,3.36,87.82,1.44
"PENA",98345,5.92,0.51,1.05,91.55,0.97
"RIOS",96569,5.33,0.45,0.39,93.02,0.81
"DOUGLAS",96425,61.3338666133387,33.4866513348665,0.42995700429957,2.04979502049795,2.6997300269973
"SANDOVAL",96303,6.000600060006,0.19001900190019,0.55005500550055,90.6690669066907,2.59025902590259
"BARRETT",95896,83.2116788321168,12.4087591240876,0.56994300569943,1.71982801719828,2.08979102089791
"HOPKINS",94603,75.56,20.28,0.42,1.37,2.37
"KELLER",94300,92.9207079292071,3.58964103589641,0.41995800419958,1.48985101489851,1.57984201579842
"GUERRERO",94152,5.15948405159484,0.31996800319968,2.35976402359764,91.3108689131087,0.84991500849915
"STANLEY",93817,81.0562112422485,14.1528305661132,0.520104020804161,1.6503300660132,2.62052410482096
"BATES",93743,77.0977097709771,18.5618561856186,0.41004100410041,1.72017201720172,2.21022102210221
"ALVARADO",93723,4.78904219156169,0.329934013197361,0.599880023995201,93.5512897420516,0.729854029194161
"BECK",93161,91.73,4.47,0.58,1.39,1.83
"ORTEGA",93131,5.69,0.33,1.1,91.83,1.05
"WADE",92834,67.4967496749675,28.1328132813281,0.36003600360036,1.49014901490149,2.52025202520252
"ESTRADA",92831,5.23,0.49,1.77,91.65,0.86
"CONTRERAS",92660,4.72,0.24,0.62,93.75,0.67
"BARNETT",92287,78.7421257874213,16.6283371662834,0.35996400359964,1.62983701629837,2.63973602639736
"CALDWELL",91338,70.27,25.58,0.34,1.57,2.24
"SANTIAGO",90967,5.86,1.46,4.43,87.22,1.03
"LAMBERT",90618,85.71,9.34,0.46,1.94,2.55
"POWERS",90401,91.019101910191,5.14051405140514,0.51005100510051,1.58015801580158,1.75017501750175
"CHAMBERS",90325,68.8,26.93,0.36,1.57,2.34
"NUNEZ",90208,6.44064406440644,0.77007700770077,0.8000800080008,91.2191219121912,0.77007700770077
"CRAIG",89591,81.17,14.47,0.5,1.61,2.25
"LEONARD",89198,82.59,13.14,0.45,1.75,2.07
"LOWE",89178,75.29,18.53,1.66,1.75,2.77
"RHODES",88917,77.16,19.04,0.32,1.41,2.07
"BYRD",88811,61.2438756124388,34.1965803419658,0.25997400259974,1.38986101389861,2.90970902909709
"GREGORY",88810,80.87,14.62,0.43,1.82,2.26
"SHELTON",88326,76.1876187618762,19.7619761976198,0.36003600360036,1.37013701370137,2.32023202320232
"FRAZIER",88325,59.05,36.14,0.37,1.3,3.14
"BECKER",88114,96.380723855229,0.459908018396321,0.449910017996401,1.37972405518896,1.32973405318936
"MALDONADO",88016,5.52944705529447,0.50994900509949,0.32996700329967,92.9407059294071,0.68993100689931
"FLEMING",87949,74.59,21.51,0.44,1.43,2.03
"VEGA",87728,6.46064606460646,0.6000600060006,0.65006500650065,91.5491549154915,0.74007400740074
"SUTTON",87373,75.0875087508751,20.8820882088209,0.37003700370037,1.41014101410141,2.25022502250225
"COHEN",87226,90.6209379062094,5.50944905509449,0.41995800419958,2.10978902109789,1.33986601339866
"JENNINGS",87038,73.3873387338734,22.3622362236224,0.54005400540054,1.53015301530153,2.18021802180218
"PARKS",86346,71.48,24.25,0.53,1.37,2.37
"MCDANIEL",86317,78.4878487848785,17.5317531753175,0.3000300030003,1.5001500150015,2.18021802180218
"WATTS",86228,70.8170817081708,24.962496249625,0.35003500350035,1.48014801480148,2.39023902390239
"BARKER",85221,88.54,7.24,0.48,1.69,2.05
"NORRIS",85212,82.01,13.81,0.37,1.35,2.46
"VAUGHN",85037,73.63,22.02,0.33,1.57,2.45
"VAZQUEZ",84926,4.5995400459954,0.33996600339966,0.18998100189981,94.5105489451055,0.35996400359964
"HOLT",84710,81.19,14.44,0.52,1.38,2.47
"SCHWARTZ",84699,96.77,0.4,0.46,1.21,1.16
"STEELE",84353,80.39,14.94,0.41,1.71,2.55
"BENSON",84233,79.97200279972,15.6484351564844,0.60993900609939,1.54984501549845,2.21977802219778
"NEAL",83849,64.7029405881176,30.9161832366473,0.420084016803361,1.43028605721144,2.53050610122024
"DOMINGUEZ",83731,6.16,0.43,1.15,91.43,0.83
"HORTON",83523,72.15,23.5,0.4,1.53,2.42
"TERRY",83437,68.82,26.63,0.41,1.68,2.46
"WOLFE",83112,92.29,3.37,0.43,1.43,2.48
"HALE",82955,83.99,11.17,0.46,1.6,2.78
"LYONS",82258,76.88,18.55,0.45,1.51,2.61
"GRAVES",82179,71.95,23.56,0.37,1.66,2.46
"HAYNES",82037,63.72,32.01,0.3,1.7,2.27
"MILES",81933,63.61,31.8,0.43,1.59,2.57
"PARK",81890,30.06,0.82,66.3,0.85,1.97
"WARNER",81824,86.3113688631137,9.68903109689031,0.50994900509949,1.47985201479852,2.00979902009799
"PADILLA",81805,6.94138827765553,0.340068013602721,2.07041408281656,89.0078015603121,1.64032806561312
"BUSH",81524,74.1325867413259,21.4878512148785,0.51994800519948,1.54984501549845,2.30976902309769
"THORNTON",81191,69.33,26.53,0.37,1.31,2.46
"MCCARTHY",81035,93.8906109389061,2.77972202779722,0.53994600539946,1.40985901409859,1.37986201379862
"MANN",81022,83.0916908309169,9.67903209679032,2.40975902409759,1.80981901809819,3.00969903009699
"ZIMMERMAN",80944,94.81,2.27,0.43,1.25,1.24
"ERICKSON",80936,96.3803619638036,0.23997600239976,0.4999500049995,1.25987401259874,1.61983801619838
"FLETCHER",80932,75.5124487551245,19.9180081991801,0.46995300469953,1.67983201679832,2.41975802419758
"MCKINNEY",80616,71.57,24.31,0.29,1.35,2.48
"PAGE",80493,77.16,18.66,0.48,1.73,1.97
"DAWSON",80190,70.48,25.22,0.48,1.59,2.23
"JOSEPH",80030,35.48,48.84,6.91,2.37,6.4
"MARQUEZ",79951,5.69,0.56,2.79,89.84,1.12
"REEVES",79817,79.79,15.66,0.46,1.75,2.34
"KLEIN",79685,96.53,0.3,0.4,1.49,1.28
"ESPINOZA",79322,4.37956204379562,0.24997500249975,0.36996300369963,94.2805719428057,0.71992800719928
"BALDWIN",79151,79.12,16.51,0.41,1.62,2.34
